Title,rating,nor,link
Tandoori Flame Brampton,4.3,11607,https://www.google.com/maps/place/Tandoori+Flame+Brampton/data=!4m6!3m5!1s0x882b3e717aad42bd:0x6da2186e43bdb9dc!8m2!3d43.7016049!4d-79.7116008!16s%2Fg%2F1td48m29?authuser=0&hl=en&rclk=1
Paranthe Wali Gali,4.5,8102,https://www.google.com/maps/place/Paranthe+Wali+Gali/data=!4m6!3m5!1s0x882b3dc58ec29bf9:0x55e88558ac02c8d!8m2!3d43.7379728!4d-79.7033748!16s%2Fg%2F11gm7_t8j1?authuser=0&hl=en&rclk=1
Paranthe Wali Gali,4.5,8102,https://www.google.com/maps/place/Paranthe+Wali+Gali/data=!4m6!3m5!1s0x882b3dc58ec29bf9:0x55e88558ac02c8d!8m2!3d43.7379728!4d-79.7033748!16s%2Fg%2F11gm7_t8j1?authuser=0&hl=en&rclk=1
GuruLukshmi,4.3,7217,https://www.google.com/maps/place/GuruLukshmi/data=!4m6!3m5!1s0x882b3f8cddefb843:0x2e7ba665ab732338!8m2!3d43.6392621!4d-79.7160439!16s%2Fg%2F11b6gd4zg5?authuser=0&hl=en&rclk=1
King Tandoori Kennedy,4.0,5027,https://www.google.com/maps/place/King+Tandoori+Kennedy/data=!4m6!3m5!1s0x882b3e272fca777d:0xddd372fdabbd3a32!8m2!3d43.6861111!4d-79.7378306!16s%2Fg%2F11cmsg08t8?authuser=0&hl=en&rclk=1
King Tandoori Kennedy,4.0,5027,https://www.google.com/maps/place/King+Tandoori+Kennedy/data=!4m6!3m5!1s0x882b3e272fca777d:0xddd372fdabbd3a32!8m2!3d43.6861111!4d-79.7378306!16s%2Fg%2F11cmsg08t8?authuser=0&hl=en&rclk=1
King Tandoori Rutherford,4.2,4497,https://www.google.com/maps/place/King+Tandoori+Rutherford/data=!4m6!3m5!1s0x882b3e3c6f037521:0x47dec23f1736efd5!8m2!3d43.6866425!4d-79.7246672!16s%2Fg%2F1tdbrhmh?authuser=0&hl=en&rclk=1
King Tandoori Rutherford,4.2,4497,https://www.google.com/maps/place/King+Tandoori+Rutherford/data=!4m6!3m5!1s0x882b3e3c6f037521:0x47dec23f1736efd5!8m2!3d43.6866425!4d-79.7246672!16s%2Fg%2F1tdbrhmh?authuser=0&hl=en&rclk=1
Kwality Sweets & Restaurant,3.6,3800,https://www.google.com/maps/place/Kwality+Sweets+%26+Restaurant/data=!4m6!3m5!1s0x882b3c25177080d7:0x41e4b5f5c4472605!8m2!3d43.7135095!4d-79.6815957!16s%2Fg%2F1tl7pbrz?authuser=0&hl=en&rclk=1
Brar's Grand Buffet,3.8,3654,https://www.google.com/maps/place/Brar's+Grand+Buffet/data=!4m6!3m5!1s0x882b3e61e1b1512f:0x871f476eeeb143eb!8m2!3d43.6905726!4d-79.6941078!16s%2Fg%2F1wv_svrs?authuser=0&hl=en&rclk=1
KHAZANA Brampton - by Chef Sanjeev Kapoor,3.7,3546,https://www.google.com/maps/place/KHAZANA+Brampton+-+by+Chef+Sanjeev+Kapoor/data=!4m6!3m5!1s0x882b3d007d5b3045:0xff45b61d580773e6!8m2!3d43.7465969!4d-79.6985344!16s%2Fg%2F11b6q2v7q0?authuser=0&hl=en&rclk=1
Rajdhani Indian Sweets & Restaurant,3.9,3314,https://www.google.com/maps/place/Rajdhani+Indian+Sweets+%26+Restaurant/data=!4m6!3m5!1s0x882b3d7e4dd39029:0x7d955f685bdeea43!8m2!3d43.7520211!4d-79.7377529!16s%2Fg%2F1tj9tzfd?authuser=0&hl=en&rclk=1
Honest Restaurant Brampton,4.0,2918,https://www.google.com/maps/place/Honest+Restaurant+Brampton/data=!4m6!3m5!1s0x882b3f770167eca3:0xbe8d4e4d57927d43!8m2!3d43.6655341!4d-79.7317445!16s%2Fg%2F11f7r2ys3f?authuser=0&hl=en&rclk=1
Honest Restaurant Brampton,4.0,2918,https://www.google.com/maps/place/Honest+Restaurant+Brampton/data=!4m6!3m5!1s0x882b3f770167eca3:0xbe8d4e4d57927d43!8m2!3d43.6655341!4d-79.7317445!16s%2Fg%2F11f7r2ys3f?authuser=0&hl=en&rclk=1
Avani Asian Indian Bistro,4.0,2840,https://www.google.com/maps/place/Avani+Asian+Indian+Bistro/data=!4m6!3m5!1s0x882b40f69cf5d42d:0x495b8f9aca507a6c!8m2!3d43.6063153!4d-79.6918927!16s%2Fg%2F1ym82ppb0?authuser=0&hl=en&rclk=1
Silver Spoon,4.1,2748,https://www.google.com/maps/place/Silver+Spoon/data=!4m6!3m5!1s0x89d4d11b9b887125:0xdaf742c0ac25fa41!8m2!3d43.7919649!4d-79.251436!16s%2Fg%2F1tj58rm4?authuser=0&hl=en&rclk=1
Anokhi - Inspired Indian Dining,4.1,2540,https://www.google.com/maps/place/Anokhi+-+Inspired+Indian+Dining/data=!4m6!3m5!1s0x882b3fc6439ac743:0x93308385d93777f2!8m2!3d43.6598457!4d-79.7215121!16s%2Fg%2F11c50jfkqq?authuser=0&hl=en&rclk=1
Brar's Trinity Common,3.5,2502,https://www.google.com/maps/place/Brar's+Trinity+Common/data=!4m6!3m5!1s0x882b166a570e9b19:0xe7158225c5c832bf!8m2!3d43.7299664!4d-79.7652777!16s%2Fg%2F11cjs_w3dx?authuser=0&hl=en&rclk=1
Paranthe Wali Gali,4.2,2474,https://www.google.com/maps/place/Paranthe+Wali+Gali/data=!4m6!3m5!1s0x882b158a44255555:0xfb1f3e54bc9ae8ab!8m2!3d43.6887429!4d-79.7421043!16s%2Fg%2F11f50xrsj7?authuser=0&hl=en&rclk=1
Mirch Masala Authentic Indian Restaurant,4.3,2415,https://www.google.com/maps/place/Mirch+Masala+Authentic+Indian+Restaurant/data=!4m6!3m5!1s0x882b15f77eb7eb07:0x15b314b7e28200bf!8m2!3d43.700204!4d-79.7431995!16s%2Fg%2F11byxgp1w6?authuser=0&hl=en&rclk=1
Baba Dhaba,3.8,2387,https://www.google.com/maps/place/Baba+Dhaba/data=!4m6!3m5!1s0x882b3e232a7bec8b:0x6fe00e877527730e!8m2!3d43.68825!4d-79.7287667!16s%2Fg%2F11b7lfld5m?authuser=0&hl=en&rclk=1
Annalakshmi,4.0,2341,https://www.google.com/maps/place/Annalakshmi/data=!4m6!3m5!1s0x882b142dd009cc9f:0x9f0f1329f63e38d4!8m2!3d43.7073407!4d-79.7897959!16s%2Fg%2F11c52rld50?authuser=0&hl=en&rclk=1
Silver Spoon,4.0,2330,https://www.google.com/maps/place/Silver+Spoon/data=!4m6!3m5!1s0x882b405fc47f4a41:0x80c5ab8e8d0150c0!8m2!3d43.6089606!4d-79.6960042!16s%2Fg%2F1tj2257z?authuser=0&hl=en&rclk=1
Chawla's Cuisine,3.7,2251,https://www.google.com/maps/place/Chawla's+Cuisine/data=!4m6!3m5!1s0x882b3fd05456937b:0x205f0862fb4684dd!8m2!3d43.6632933!4d-79.7318815!16s%2Fg%2F1vbl86l4?authuser=0&hl=en&rclk=1
Anjappar Chettinad Restaurants,3.8,2215,https://www.google.com/maps/place/Anjappar+Chettinad+Restaurants/data=!4m6!3m5!1s0x882b3fd3f96d1a83:0x33eda08b5cff4314!8m2!3d43.6677258!4d-79.7335784!16s%2Fg%2F1tjhy8zz?authuser=0&hl=en&rclk=1
Indias Taste Brampton,3.4,2131,https://www.google.com/maps/place/Indias+Taste+Brampton/data=!4m6!3m5!1s0x882b155751d2868b:0xe762add1a71a38fc!8m2!3d43.6427423!4d-79.7470852!16s%2Fg%2F1tf5l8dh?authuser=0&hl=en&rclk=1
Simply Indian Sweets & Restaurant,3.7,2120,https://www.google.com/maps/place/Simply+Indian+Sweets+%26+Restaurant/data=!4m6!3m5!1s0x882b23ad640d803f:0x5fc647e896b9a1c8!8m2!3d43.7968355!4d-79.6834928!16s%2Fg%2F11h0bcl0mv?authuser=0&hl=en&rclk=1
Filmy Tadka,4.7,2064,https://www.google.com/maps/place/Filmy+Tadka/data=!4m6!3m5!1s0x882b3d4c5b534b57:0x8f7abc43996604ec!8m2!3d43.7472747!4d-79.6981299!16s%2Fg%2F11j0hhv9jb?authuser=0&hl=en&rclk=1
Nilgiris Restaurant Brampton South Indian Vegetarian,4.0,1994,https://www.google.com/maps/place/Nilgiris+Restaurant+Brampton+South+Indian+Vegetarian/data=!4m6!3m5!1s0x882b3cb1d42258b9:0xc8d6b9e94affe942!8m2!3d43.7733407!4d-79.6615576!16s%2Fg%2F1pty8zv45?authuser=0&hl=en&rclk=1
Doaba Sweets & Restaurant,3.5,1968,https://www.google.com/maps/place/Doaba+Sweets+%26+Restaurant/data=!4m6!3m5!1s0x882b15661c530023:0x6c2353795a1f4ea8!8m2!3d43.658709!4d-79.7498112!16s%2Fg%2F1tfcjczw?authuser=0&hl=en&rclk=1
Indian Frootland,3.9,1839,https://www.google.com/maps/place/Indian+Frootland/data=!4m6!3m5!1s0x882b153e09145e9f:0x9e43992c5e011af!8m2!3d43.6553059!4d-79.767777!16s%2Fg%2F11bwywlt62?authuser=0&hl=en&rclk=1
A-One Catering,4.1,1795,https://www.google.com/maps/place/A-One+Catering/data=!4m6!3m5!1s0x882b3ec206479def:0x7311d5e0db3d3224!8m2!3d43.6797003!4d-79.6736278!16s%2Fg%2F1tr9p1bw?authuser=0&hl=en&rclk=1
Sardar ji,4.1,1786,https://www.google.com/maps/place/Sardar+ji/data=!4m6!3m5!1s0x882b15855f31d571:0xbb84dfc95ab1feb0!8m2!3d43.6838282!4d-79.8123942!16s%2Fg%2F11ll6vq1_v?authuser=0&hl=en&rclk=1
National Sweets and Restaurant,3.4,1781,https://www.google.com/maps/place/National+Sweets+and+Restaurant/data=!4m6!3m5!1s0x882b17b6215880bb:0x6076d79c39459246!8m2!3d43.756743!4d-79.762645!16s%2Fg%2F11ckdd16cy?authuser=0&hl=en&rclk=1
India Bazaar,3.9,1685,https://www.google.com/maps/place/India+Bazaar/data=!4m6!3m5!1s0x882b168793f8fef1:0xc2b9a08d4ae64b44!8m2!3d43.724236!4d-79.78724!16s%2Fg%2F1vzn65ml?authuser=0&hl=en&rclk=1
Veggie Planet Mississauga,4.4,1585,https://www.google.com/maps/place/Veggie+Planet+Mississauga/data=!4m6!3m5!1s0x882b3ee73c0c3563:0x6a3295372a8fbe47!8m2!3d43.6731807!4d-79.6757568!16s%2Fg%2F11gbk3b646?authuser=0&hl=en&rclk=1
Brar's - Bovaird & Airport Dr.,3.4,1523,https://www.google.com/maps/place/Brar's+-+Bovaird+%26+Airport+Dr./data=!4m6!3m5!1s0x882b3d6ecee536e7:0x8a260a526fda49af!8m2!3d43.7606449!4d-79.7245535!16s%2Fg%2F11d_1ml6wp?authuser=0&hl=en&rclk=1
Guru Sweets & Restaurant,3.0,1483,https://www.google.com/maps/place/Guru+Sweets+%26+Restaurant/data=!4m6!3m5!1s0x882b146f0cefff67:0xd92fe8e35fb5e882!8m2!3d43.6901361!4d-79.8149944!16s%2Fg%2F11c6cc0lzk?authuser=0&hl=en&rclk=1
Le Kochi,3.5,1450,https://www.google.com/maps/place/Le+Kochi/data=!4m6!3m5!1s0x882b17b4f6c7422b:0x2c8f3a5632004324!8m2!3d43.7569444!4d-79.7630556!16s%2Fg%2F11bxdy_11r?authuser=0&hl=en&rclk=1
Sector 17,4.0,1372,https://www.google.com/maps/place/Sector+17/data=!4m6!3m5!1s0x882b3e4788b9d0d1:0x5068c33db4b7fe85!8m2!3d43.6892796!4d-79.7425951!16s%2Fg%2F11f0ygqmqc?authuser=0&hl=en&rclk=1
Firangi,3.8,1356,https://www.google.com/maps/place/Firangi/data=!4m6!3m5!1s0x882b3daa5740fc13:0x5aaed2c09d1fdf76!8m2!3d43.7428525!4d-79.698231!16s%2Fg%2F11c1_v9c43?authuser=0&hl=en&rclk=1
Sweet Palace,4.0,1311,https://www.google.com/maps/place/Sweet+Palace/data=!4m6!3m5!1s0x882b3d6349af68ed:0x24e397421af620fd!8m2!3d43.7580861!4d-79.737271!16s%2Fg%2F1tdzb14l?authuser=0&hl=en&rclk=1
Kesar Sweets & Restaurant,3.9,1267,https://www.google.com/maps/place/Kesar+Sweets+%26+Restaurant/data=!4m6!3m5!1s0x882b3d6f42046df7:0xd5e4b0c5149ed79d!8m2!3d43.7604317!4d-79.7277433!16s%2Fg%2F11g8w28kjp?authuser=0&hl=en&rclk=1
